User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
DataBaaz,7/21/2019 11:32,"did you know that the cost for chandrayaan2 - india's entire moon mission along with the launch is 9.78 billion rupees! the cheapest of moon landings. russia, the us and china are the only other countries to have landed on the moon. isro gslvmkiii ","Mumbai, India",5,-0.041666666666666664,0.6666666666666666
Forbes India,7/21/2019 11:30,"it's been 50 years since apollo11 took man to the moon. as we prepare for chandrayaan2 to lift off on the 22nd, a look at important lunar missions that have shaped our knowledge of the moon. chandrayaan2launch ",India,3,0.4,1.0
Soumya Ranjan Swain,7/21/2019 11:29,wish chandrayaan2 will be a great success. good luck isro watch the video on isromissions chandrayaan2 ,"Bhubaneshwar, India",0,0.6,0.45
Tech2,7/21/2019 11:27,chandrayaan2 launch is happening again tomorrow after the first one was called off due to a 'technical snag'. here's when and where to watch it. chandrayaan2themoon ,"Mumbai, India",11,0.041666666666666664,0.26944444444444443
Harini Calamur,7/21/2019 11:27,the latest the calamur daily! thanks to pune chandrayaan2,Mumbai,0,0.2333333333333333,0.3666666666666667
Gaurav Jain अहिंसा परमो धर्म,7/21/2019 11:19,"best wishes to for chandrayaan2 mission, with hardworking of expertise team, best wishes and prayers of 130 crore indian is on the way 🙏 countdown to begin soon at 6:43 today","Gudli, Mavli, Udaipur, India",0,1.0,0.3
Urvashi,7/21/2019 11:17,"ahead of chandrayaan2 take 2, isro's track record inspires confidence ",Boardroom,0,0.0,0.0
Gadget2,7/21/2019 11:16,"chandrayaan-2 rover-lander tested on 'moon surface' created with salem soil technology science indianspaceresearchorganisation, chandrayaan2 ","Mumbai, India",0,0.0,0.0
Gautam Aggarwal,7/21/2019 11:14,with gearing up for the launch of chandrayaan2 tomorrow afternoon my best wishes to the entire team for the success of mission jaihind,"New Delhi, India",0,0.43333333333333335,0.30833333333333335
Kiran Manral,7/21/2019 11:13, what are the self limiting messages girls and women have internalised about opting for stem as a career? chandrayaan2,India,0,0.0,0.0
SheThePeople,7/21/2019 11:10,what measures could help bridge the gender gap in science? twitterchat chandrayaan2 womeninstem ,India,0,0.0,0.0
Mathrubhumi,7/21/2019 11:10,chandrayaan-2 countdown to start at 6.43 pm on sunday: isro chairman chandrayaan2,"Kozhikode, Kerala",0,0.0,0.0
Deccan Chronicle,7/21/2019 11:09,"ahead of chandrayaan2 launch isro chief says, 'technical snags rectified'. dcnation ",India,0,0.0,0.1
Neerajaa Kona,7/21/2019 11:06,this is amazing! chandrayaan2 ,Hyderabad ,14,0.7500000000000001,0.9
Real Kshitij M Kotak ↗️,7/21/2019 11:04,million+ americans to march to area51 to see aliens but indians have to send space mission chandrayaan2 to the moon to find aliens. modishouldresign,Mumbai,0,0.0,0.0
LatestLY,7/21/2019 11:04,"chandrayaan 2: from what's at stake to launch time and cost, know about india's second mission to moon chandrayaan2 chandrayaan2themoon moon isro ","Mumbai, India",0,0.0,0.0
SheThePeople,7/21/2019 11:02,how can we encourage more women to take up stem? chandrayaan2 twitterchat with ,India,2,0.5,0.5
Rohil Singhvi,7/21/2019 11:01,billion dreams to the moon isro chandrayaan2 ,India,0,0.0,0.0
Kalinga TV,7/21/2019 11:00,india’s lander mission to moon chandrayaan2 all set to take off on monday afternoon at 2.43 pm isro ,"Odisha, India",0,0.0,0.0
DailyO,7/21/2019 11:00,"chandrayaan2 to be launched tomorrow re | why chandrayaan matters: if we find water on the moon, it may be colonised by making caves | | ","New Delhi, Delhi",9,0.0,0.0
SheThePeople,7/21/2019 10:59,. says families often discourage women from taking stem and remind them of their homely duties twitterchat chandrayaan2 womeninstem ,India,0,0.0,0.0
Shri Hogtapur,7/21/2019 10:58,happy sisters day to all those who worked hard for this day chandrayaan2 gslvmkiii wishing you all for successful launch.,"Bidar,karnataka",0,0.41944444444444445,0.8305555555555554
News24 India,7/21/2019 10:57,chandrayaan-2 countdown to start at 6.43 p.m. today: isro chandrayaan2 ,Noida,2,0.0,0.0
SheThePeople,7/21/2019 10:55,chandrayaan2 is led by two women scientists. how do you think this will help in promoting the cause of women empowerment? twitterchat with womeninstem ,India,1,0.0,0.0
🅹🅰🆈 🅺🅰🅲🅷🅷🅸🅰,7/21/2019 10:54,"we’ve had our eyes 👀 on you 🌒 for a while! we’ll be dropping in a couple of hours from now 🚀 today is ‘sun’day but tomorrow is going to be your ‘moon’day😎 love, india 🇮🇳 chandrayaan2 🛰 gslvmkiii ","Mumbai, India",0,0.5,0.6
SheThePeople,7/21/2019 10:54,what are some of the stereotypes revolving around women and scientific aptitude? womeninstem twitterchat chandrayaan2 ,India,0,0.0,0.0
SheThePeople,7/21/2019 10:50,how important was the role of family behind the success of these women scientists? twitterchat chandrayaan2 ,India,0,0.09999999999999999,0.5666666666666667
Tollywood Andhra,7/21/2019 10:48,chandrayaan2🚀 is ready to take a billion dreams to the 🌑moon. the launch is on monday 🗓️22 july 2019 at ⏰2:15 pm watch the lift-off live on pib's👇 youtube: facebook: &amp; twitter: gslvmkiii isro ,nan,7,0.16818181818181818,0.5
Vande Bharat 2.0,7/21/2019 10:47,"watch ltest tiktok funny videos compilation on""vande bharat 2.0"".subscribe viratkohli msdhoni chandrayaan2 sachintendulkar tiktok funniesttweets ranveersingh sareetwitter avengersendgame super30film sundaymotivation dhoni thekapilsharmashow",nan,1,0.25,1.0
SheThePeople,7/21/2019 10:44,". according to you, what challenges do women scientists face? twitterchat chandrayaan2 womeninstem ",India,0,0.0,0.0
Shreyansh Chauhan,7/21/2019 10:40," for you. place the chandrayaan2 where you want to. poud of you, was the finest decision to abort the mission. gslvmkiii allthebest ",nan,0,0.0,0.0
